what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073874311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073874331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073878228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1337073881525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073882638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073883518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073883917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073883927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073883947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073893765
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1337073896196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073899844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073902805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073904034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073911627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073941550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073942610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073942981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073942991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073943010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073948289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073951875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073952934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073953299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073953311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073953331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073961806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337073964577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337073966643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073977761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073978743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073979120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073979130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073979147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073984926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073987787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073987902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073988588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073989778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073990154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073990163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073990185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337073994659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1337073996922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337074069402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337074075501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074094177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074095036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074095433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074095447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074095479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074103019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074106331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074106977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074107774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074108675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074109040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074109051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074109069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074118010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074151033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074151959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074152330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074152342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074152358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074162397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074195512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074196421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074197100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074197957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074198315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074198329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074198351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074210916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074225538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074226506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074226876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074226887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074226902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074234329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074240439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074240568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074241205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074241979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074243998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074248741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074249133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074249145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074249162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074262529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1337074310869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074320869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074321010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074322040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074323476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074323862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074323873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074323891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074380312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074386208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337074398131
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1337074403199
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1337074425902
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337074426253
